id;Kanji;Grade;"Reading within Joyo";"Reading beyond Joyo";"On within Joyo";"Translation of On";"Kun within Joyo";"Translation of Kun";Left1sound;Left2sound;Left3sound;Left4sound;Left5sound;Left6sound;Right1sound;Right2sound;Right3sound;Right4sound;Right5sound;Right6sound;Right7sound
489;携;7;ケイ、たずさ-える、たずさ-わる;;kei;"carry (in the hand); be armed with; carry along, bring (someone) along";"tazusa(eru), tazusa(waru)";"carry (in the hand); be armed with; carry along, bring (someone) along; participate in, be concerned in";kei;;;;;;kei;;;;;;
1001;彰;7;ショウ;あき;shoo;clear;-;-;;;;;;;syoo;;;;;;
1257;憎;7;ゾウ、にく-む、にく-い、にく-らしい、にく-しみ;;zoo;"hate, detest";"niku(mu), niku(i), niku(rashii), niku(shimi)";"hate, detest. hateful, abominable; poor-looking. horrible, provoking. hatred, enmity ";zoo;;;;;;zoo;;;;;;
1513;透;7;トウ、す-く、す-かす、す-ける;とお;too;"permeate, penetrate ";"su(ku), su(kasu), su(keru)";"be transparent; be seen through; be thin; leave a gap. leave a space; thin (trees); make transparent; look through";too;;;;;;too;;;;;;
2025;絡;7;ラク、から-む、から-まる、から-める;;raku;"coil around, get twisted; stick to; pick a quarrel";"kara(mu), kara(maru), kara(meru)";"coil around, get twisted; stick to; pick a quarrel. twine around. get caught in; be urged on by ";;;;;;;raku;;;;;;
490;継;7;ケイ、つ-ぐ;ケ;kei;"succeed to, inherit; follow; patch; graft (trees); tell";tsu(gu);"succeed to, inherit; follow; patch; graft (trees); tell";kei;tu;;;;;kei;;;;;;
235;喝;7;カツ;;katsu;"scold, get hoarse";-;-;kaQ;;;;;;katu;;;;;;
491;詣;7;ケイ、もう-でる;;kei;"visit a temple or shrine";mou(deru);"go; come; call, visit; visit a shrine";;;;;;;kei;moo;;;;;
747;桟;7;サン;さじき;san;"crosspiece, cleat, frame, door bolt; shelf; jetty; suspension bridge";-;-;san;saziki;;;;;;;;;;;
1003;憧;7;ショウ、あこが-れる;ドウ;shoo;"yearn after, long for; thirst for; aspire to; admire, adore";akoga(reru);"yearn after, long for; thirst for; aspire to; admire, adore";doo;;;;;;;;;;;;
1259;贈;7;ゾウ、[ソウ]、おく-る;;"zoo, [soo]";"present (something)";oku(ru);"send, give to, award to, confer on";zoo;oku;;;;;zoo;;;;;;
1515;悼;7;トウ、いた-む;;too;"grieve over";ita(mu);"grieve over";too;;;;;;too;;;;;;
